 #lon(deg), lat(deg), depth(km), Vs-perturbation wrt PREM(%), Vs-PREM (km/s)
-119.5	32.5	5	0.60434856	3.46
-119.5	34	5	1.6215291	3.46
-119.5	35.5	5	2.3765215	3.46
-119.5	37	5	-0.96451704	3.46
-119.5	38.5	5	-1.5638037	3.46
-119.5	40	5	-1.9059443	3.46
-119.5	41.5	5	-1.4967917	3.46
-119.5	43	5	-1.0491089	3.46
-119.5	44.5	5	0.64717306	3.46
-119.5	46	5	1.3777667	3.46
-119.5	47.5	5	2.6109532	3.46
-119.5	49	5	1.4171803	3.46
-118	22	5	-0.00083360279	3.46
-118	23.5	5	0.0038182288	3.46
-118	25	5	0.007334231	3.46
-118	26.5	5	0.016042907	3.46
-118	28	5	0.028385744	3.46
-118	29.5	5	-0.062716658	3.46
-118	31	5	0.3639935	3.46
-118	32.5	5	0.48339325	3.46
-118	34	5	3.6033331	3.46
-118	35.5	5	0.063408681	3.46
-118	37	5	-1.642972	3.46
-118	38.5	5	-0.56782306	3.46
-118	40	5	0.060487667	3.46
-118	41.5	5	-1.0098272	3.46
-118	43	5	-0.85205948	3.46
-118	44.5	5	1.5907458	3.46
-118	46	5	2.2453982	3.46
-118	47.5	5	2.8414036	3.46
-118	49	5	1.810616	3.46
-116.5	22	5	-0.00083360279	3.46
-116.5	23.5	5	0.0038182288	3.46
-116.5	25	5	0.022363255	3.46
-116.5	26.5	5	0.053066664	3.46
-116.5	28	5	0.14209521	3.46
-116.5	29.5	5	-0.20941325	3.46
-116.5	31	5	0.58070552	3.46
-116.5	32.5	5	1.0966691	3.46
-116.5	34	5	2.4996812	3.46
-116.5	35.5	5	-0.31052397	3.46
-116.5	37	5	-0.029584447	3.46
-116.5	38.5	5	0.84297182	3.46
-116.5	40	5	0.92386589	3.46
-116.5	41.5	5	-0.68793842	3.46
-116.5	43	5	0.085815227	3.46
-116.5	44.5	5	1.3094642	3.46
-116.5	46	5	2.896293	3.46
-116.5	47.5	5	3.3706251	3.46
-116.5	49	5	2.0841769	3.46
-115	22	5	-0.0055442401	3.46
-115	23.5	5	0.0050911125	3.46
-115	25	5	0.041944931	3.46
-115	26.5	5	0.20214538	3.46
-115	28	5	1.1907427	3.46
-115	29.5	5	1.1726596	3.46
-115	31	5	0.74249315	3.46
-115	32.5	5	0.21025195	3.46
-115	34	5	2.2386357	3.46
-115	35.5	5	0.20684565	3.46
-115	37	5	1.1530654	3.46
-115	38.5	5	0.55834589	3.46
-115	40	5	0.78612886	3.46
-115	41.5	5	-0.086591766	3.46
-115	43	5	-0.55868503	3.46
-115	44.5	5	1.6352032	3.46
-115	46	5	2.4368869	3.46
-115	47.5	5	2.7719793	3.46
